2021-11-10 07:51:06.156 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration'
2021-11-10 07:51:06.158 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
2021-11-10 07:51:06.175 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration' via constructor to bean named 'spring.servlet.multipart-org.springframework.boot.autoconfigure.web.servlet.MultipartProperties'
2021-11-10 07:51:06.185 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'errorPageCustomizer' via factory method to bean named 'dispatcherServletRegistration'
2021-11-10 07:51:06.331 DEBUG Joness-MacBook-Air.local--- [           main] .s.b.w.e.t.TomcatServletWebServerFactory : Code archive: /Users/jonesalapat/.m2/repository/org/springframework/boot/spring-boot/2.5.6/spring-boot-2.5.6.jar
2021-11-10 07:51:06.332 DEBUG Joness-MacBook-Air.local--- [           main] .s.b.w.e.t.TomcatServletWebServerFactory : Code archive: /Users/jonesalapat/.m2/repository/org/springframework/boot/spring-boot/2.5.6/spring-boot-2.5.6.jar
2021-11-10 07:51:06.332 DEBUG Joness-MacBook-Air.local--- [           main] .s.b.w.e.t.TomcatServletWebServerFactory : None of the document roots [src/main/webapp, public, static] point to a directory and will be ignored.
2021-11-10 07:51:06.373  INFO Joness-MacBook-Air.local--- [           main] o.s.b.w.e.t.TomcatWebServer              : Tomcat initialized with port(s): 8080 (http)
2021-11-10 07:51:06.411  INFO Joness-MacBook-Air.local--- [           main] o.a.c.h.Http11NioProtocol                : Initializing ProtocolHandler ["http-nio-8080"]
2021-11-10 07:51:06.413  INFO Joness-MacBook-Air.local--- [           main] o.a.c.c.StandardService                  : Starting service [Tomcat]
2021-11-10 07:51:06.414  INFO Joness-MacBook-Air.local--- [           main] o.a.c.c.StandardEngine                   : Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-11-10 07:51:06.530  INFO Joness-MacBook-Air.local--- [           main] o.a.c.c.C.[.[.[/]                        : Initializing Spring embedded WebApplicationContext
2021-11-10 07:51:06.533 DEBUG Joness-MacBook-Air.local--- [           main] w.s.c.ServletWebServerApplicationContext : Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
2021-11-10 07:51:06.533  INFO Joness-MacBook-Air.local--- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1825 ms
2021-11-10 07:51:06.541 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'requestContextFilter'
